icao,regid,mdl,type,operator
00a3a6,zs-nmj,crj2,Canadair CRJ-200ER,MGC Airlines
00a3a7,zs-nmk,crj2,Canadair CRJ-200ER,MGC Airlines
00a3a8,zs-nml,crj2,Canadair CL-600-2B19 Regional,South African Express Airways
00a3aa,zs-nmn,crj2,Canadair CL-600-2B19 Regional,South African Express Airways
00a3ab,zs-nmo,dh8d,Bombardier Dash 8 Q400,South African Express
00a3af,zs-nms,dh8d,Bombardier Dash 8 Q400,South African Express
00a424,zs-nrf,js41,BAe Jetstream 41,Airlink
00a425,zs-nrg,js41,BAe Jetstream 41,Airlink
00a426,zs-nrh,js41,BAe Jetstream 41,Airlink
00a427,zs-nri,js41,BAe Jetstream 41,Airlink
00a4ab,zs-pzu,be20,Beech B200 Super King Air,Private owner
00a4e1,zs-nym,pc12,Pilatus PC12/45,Private owner
00a509,zs-oaa,b734,Boeing 737-4L7,Comair
00a50e,zs-oaf,b734,Boeing 737-4S3,Kulula.com
00a50f,zs-oag,b734,Boeing 737-4H6,Comair
00a515,zs-oam,b734,Boeing 737-4S3,Kulula.com
00a517,zs-oao,b734,Boeing 737-4S3,Kulula.com
00a518,zs-oap,b734,Boeing 737-4S3,Kulula.com
00a51a,zs-oar,b734,Boeing 737-476,Comair
00a51c,zs-oat,b734,Boeing 737-476,Comair
00a51e,zs-oav,b734,Boeing 737-4H6,Comair
00a554,zs-ocx,b190,Beech 1900D,Solenta Aviation
00a588,zs-oex,js41,BAe Jetstream 41,Airlink
00a58c,zs-ofb,pc12,Pilatus PC12/45,Private owner
00a60d,zs-oka,pc12,Pilatus PC-12/47E,Fireblade Aviation
00a613,zs-okg,b733,Boeing 737-376,Comair
00a617,zs-okk,b733,Boeing 737-376,Comair
00a642,zs-omb,b190,Beech 1900D,Cemair
00a646,zs-omf,js41,BAe Jetstream 41,Airlink
00a6d8,zs-orv,b190,Beech 1900D,Private owner
00a6fc,zs-otf,b734,Boeing 737-436,Comair
00a6fd,zs-otg,b734,Boeing 737-436,Comair
00a6fe,zs-oth,b734,Boeing 737-436,Comair
00a703,zs-otm,e135,Embraer ERJ-135LR,Swaziland Airlink
00a704,zs-otn,e135,Embraer ERJ-135LR,Airlink
00a709,zs-ots,be20,Beech B200 Super King Air,Private owner
00a726,zs-ouv,e135,Embraer ERJ-135LR,Airlink
00a73a,zs-ovp,at43,ATR 42-300,Solenta Aviation
00a77b,zs-oyc,b190,Beech 1900D,Solenta Aviation
00a77d,zs-oye,b190,Beech 1900D,Solenta Aviation
00a77f,zs-oyg,b190,Beech 1900D,Solenta Aviation
00a7b7,zs-pak,dc93,McDonnell Douglas DC-9-32,Phoebus Apollo Aviation
00a7e8,zs-pch,be20,Beech B200 Super King Air,Private owner
00a856,zs-pgn,pc12,Pilatus PC12/47E,Private owner
00a87a,zs-phx,b190,Cessna 172L Skyhawk,Private owner
