icao,regid,mdl,type,operator
43c71e,zj267,as50,Aerospatiale AS350 Squirrel HT,Royal Air Force
43c720,zj265,as50,Aerospatiale AS350 Squirrel HT,Royal Air Force
43c721,zj264,as50,Aerospatiale AS350 Squirrel HT,Royal Air Force
43c722,zj262,as50,Aerospatiale AS350 Squirrel HT,Royal Air Force
43c723,zj261,as50,Aerospatiale AS350 Squirrel HT,Royal Air Force
43c724,zj260,as50,Aerospatiale AS350 Squirrel HT,Royal Air Force
43c725,zj257,as50,Aerospatiale AS350 Squirrel HT,Royal Air Force
43c726,zj256,as50,Aerospatiale AS350 Squirrel HT,Royal Air Force
43c727,zj255,as50,Aerospatiale AS350 Squirrel HT,Royal Air Force
43e719,m-erry,s76,Sikorsky S76B,Private owner
43e71d,m-manx,c425,Cessna 425,Private owner
43e726,m-saxy,pc12,Pilatus PC-12/45,Private owner
43e730,m-otor,be9l,Beech C90A King Air,Private owner
43e749,m-usca,tbm8,Socata TBM 850,Private owner
43e74a,m-egga,be20,Beech B200 Super King Air,Private owner
43e753,m-ushy,c441,Cessna 441 Conquest 2,Private owner
43e756,m-ifly,pc12,Pilatus PC12/47E,Private owner
43e75e,m-onty,s76,Sikorsky S76C,Private owner
43e764,m-fzmh,crj2,Canadair Challenger 850,Nexus Flight Operations
43e76b,m-urus,b737,Boeing 737-7GCBBJ,Ingram Services
43e76c,m-axim,c206,Cessna T206H Stationair,Private owner
43e774,m-phml,aa5,American General 	AG-5B Tiger,Ian Ross
43e778,m-shep,tbm8,Socata TBM-850,Private owner
43e77a,m-iabu,a343,Airbus A340-313,Klaret Aviation
43e77d,m-oltt,pc12,Pilatus PC-12/47E,Private owner
43e77e,m-harp,pc12,Pilatus PC12/47E,Private owner
43e789,m-wood,c55b,Cessna 550 Citation Bravo,Private owner
43e794,m-ikey,as65,Airbus Helicopters AS 365 N3,Private owner
43e799,m-smkm,sr20,Cirrus SR20,Private owner
43e7a0,m-arty,pc12,Pilatus PC-12/47E,Private owner
43e7a6,m-dwww,crj2,Canadair Challenger 850,TAG Aviation Asia
43e7a7,m-ngsn,pc12,Pilatus PC12/47E,Private owner
43e7ab,m-rbus,a319,Airbus A319-115,Global Jet Luxembourg
43e7b6,m-fwin,pc12,Pilatus PC-12/47E,Private owner
43e7b9,m-pcpc,pc12,Pilatus PC12/45,Private owner
43e7ba,m-kate,a319,Airbus A319-133,Sophar Property
43e7ca,m-anta,crj2,Canadair Challenger 850,Private owner
43e7d2,m-what,ec35,Eurocopter EC-135T2+,Starspeed
43e7d3,m-sail,pc12,Pilatus PC12/47E,Private owner
43e7dd,m-speq,b350,Beech 300 Super King Air 350,Specsavers Aviation Ltd
43e7e2,m-alcb,pc12,Pilatus PC12/47E,Private owner
43e7eb,m-ybbj,b737,Boeing 737-7HE,Global Jet Austria
43e7ed,m-jjtl,pc12,Pilatus PC12/47E,Private owner
43e7f6,m-jack,be20,Beech B200GT Super King Air,Private owner
43e810,m-star,b722,Boeing 727-2X8,Private owner
43e812,m-lvia,as65,Eurocopter AS365N3 Dauphin II,Private owner
43e82c,m-sbah,e190,Embraer Lineage 1000,Private owner
43e833,m-expl,as55,Eurocopter AS355 N,Private owner
43e834,m-isky,c55b,Cessna 550 Citation Bravo,Private owner
43e83d,m-take,crj2,Canadair Challenger 850,Private owner
43e84a,m-bird,e135,Embraer EMB-135BJ Legacy,Private
43e859,m-spor,be20,Beech B200 Super King Air,Private owner
43e86c,m-xhec,ec55,Eurocopter EC155B,Private owner
43e871,m-yleo,pc12,Pilatus PC12/47E,Private owner
43e87b,m-sygb,be20,Beech B200GT Super King Air,Private owner
43e880,m-eril,pc12,Pilatus PC-12/47E,Private owner
43e881,m-heli,ec55,Eurocopter	EC-155 B1,Flambards
43e8ac,m-bets,ac95,Gulfstream American 695A,Private owner
43e8ad,m-abil,a320,Airbus A320-232,CIT Leasing Corporation
43e8ae,m-leys,be9l,Beech C90GT King Air,Private owner
43e8bd,m-toms,pc12,Pilatus PC12/47E,Private owner
43e8c4,m-zell,c208,Cessna 208 Caravan,Private Owner
43e8c5,m-jcba,s76,Sikorsky S-76C,Private owner
43e8cb,m-king,be9l,Beech C90B King Air,Private owner
43e8d5,m-powr,be9l,Beech C90A King Air,Private owner
43e8f5,m-njss,e135,Embraer ERJ-135BJ,Private owner
43e8fe,m-outh,da42,Diamond DA42 Twin Star,Private owner
43e904,m-utin,pc12,Pilatus PC12/45,Private owner
43e905,m-sfam,md87,McDonnell Douglas MD-87,Private owner
43e907,m-tsri,be9l,Beech C90GTi King Air,Mann Air
43e90d,m-abeu,lj45,Learjet 45,Ryanair
43e914,m-lenr,be20,Beech B200GT Super King Air,Private owner
43e922,m-ftoh,b722,Boeing 727-269,Private owner
43e92d,m-gets,pc12,Pilatus PC-12/47E,Private owner
43e92f,m-hhhh,a318,Airbus A318-112CJ,Private owner
43e938,m-dwsf,b430,Bell 430,Private owner
43e946,m-watj,be20,Beech B200GT Super King Air,Mann Air
43e94a,m-lily,crj2,Canadair Challenger 850,TAG Aviation Asia
43e95f,m-ytaf,bt36,Beech B36TC Bonanza,Private owner
43e962,z-wpn,a320,Airbus A320-211,Air Zimbabwe
43e96a,m-bisa,pc12,Pilatus PC12/47E,Private owner
43e96f,m-ybls,pc12,Pilatus PC12/45,Private owner
43e972,m-cdzt,be20,Beech B200 Super King Air,Private owner
43e984,m-pire,p180,Piaggio P180 Avanti,Private owner
43e98c,m-cdfy,be20,Beech B200 Super King Air,Private owner
43e9b0,m-ymcm,b429,Bell Helicopter 429,T. J. Morris
43e9c3,m-crao,b350,Beech 300 Super King Air 350,Private owner
43e9d6,m-lilj,crj2,Canadair Challenger 850,Private owner
43e9df,m-jcbc,s76,Sikorsky S-76C,Private owner
43e9e4,m-ybus,a320,Airbus A320-214,Global Jet Luxembourg
43e9ea,m-dril,pc12,Pilatus PC12/47E,Private owner
43ea06,m-abgv,lj45,Learjet 45,Ryanair
43ea0c,m-otor,be20,Beech C90A King Air,Private owner
43ea16,m-lvna,ec55,Airbus Helicopters EC155B1,Private owner
43ea26,m-arsl,e135,Embraer EMB-135BJ Legacy,Aviation Resources
43ea2f,m-brvo,c55b,Cessna C550 Citation Bravo,Private owner
43ea34,m-hrpn,b429,Bell 429 GlobalRanger,Homeserve Isle of Man
43ea40,m-spec,b350,Beechcraft B300 King Air 350,Specsavers Aviation Ltd
43ea43,m-spek,b350,Beechcraft B300 King Air 350,Specsavers Aviation Ltd
43ea44,m-gcap,p180,Piaggio P180 Avanti,Private owner
43ea4f,m-rlee,be9l,Beech C90GTi King Air,Private owner
43ea58,m-ilan,e135,Embraer EMB135BJ Legacy 650,Private owner
43ea65,m-stry,rj70,Avro RJ70,Formula One Management
43ea66,m-cdjc,be20,Beech B200GT Super King Air,Private owner
43ea75,m-sixt,525c,Cessna 525C Citation CJ4,SIXT AIR GMBH
43ea81,m-mjld,c68a,Cessna 680 Citation Latitude,Private owner
43eafe,2-ofus,sr22,Cirrus SR-22,Private owner
43eaff,2-play,tbm7,Socata TBM 700,Private owner
43eb05,2-asia,at75,ATR 72-500,Aircraft Solutions Lux
43eb08,2-mike,ac11,Rockwell Commander114B,Private
43eb09,2-boys,ac11,Rockwell Commander 114B,Commander Aircraft Co
43eb0c,2-bydf,s76,Sikorsky S-76A,"Brecqhou Development Ltd, Guer"
43eb0e,2-yull,p28r,Piper PA-28R-201 Arrow,Private owner
43eb14,2-dito,p46t,Piper PA46-500TP Meridian,Private owner
43eb1c,2-love,be36,Beech A36 Bonanza,Private owner
43eb2a,2-fifi,p46t,Piper PA-46-500TP Malibu,Private owner
43eb2b,2-high,s22t,Cirrus Design Corp SR-20,Private Owner
43eb33,2-azfr,c410,Cessna 401B,Private owner
43eb39,2-noor,ac11,Rockwell Commander 114B,Private owner
43eb3b,2-jack,p46t,Navion	Rangemaster H,Private Owner
43eb3c,2-good,p32r,Piper PA32R-301T,Private owner
43eb3d,2-land,ac11,Rockwell Commander 114B,Private owner
43eb3e,2-godd,s22t,Cirrus SR-22T,Private owner
43eb44,2-cute,cl60,Canadair CL601-3A Challenger,Private owner
43eb47,2-rlae,a332,Airbus A330-243,
440002,oe-lpa,b772,Boeing 777-2Z9,Austrian Airlines
44001a,oe-lbn,a320,Airbus A320-214,Austrian Airlines
44001b,oe-lbo,a320,Airbus A320-214,Austrian Airlines
44001c,oe-lbp,a320,Airbus A320-214,Austrian Airlines
44001e,oe-lay,b763,Boeing 767-3Z9ER,Austrian Airlines
440020,oe-lpb,b772,Boeing 777-2Z9,Austrian Airlines
440023,oe-lfj,f70,Fokker 70,Austrian Airlines
440025,oe-lfi,f70,Fokker 70,Austrian Airlines
440028,oe-gps,c55b,Cessna 550 Citation Bravo,Tyrol Air Ambulance
440039,oe-lbd,a321,Airbus A321-211,Austrian Airlines
44003a,oe-lbe,a321,Airbus A321-211,Austrian Airlines
44003b,oe-lsb,dh8c,Bombardier Dash 8 Q300,Intersky
44003f,oe-laz,b763,Boeing 767-3Z9ER,Austrian Airlines
44004f,oe-lbq,a320,Airbus A320-214,Austrian Airlines
440050,oe-lbr,a320,Airbus A320-214,Austrian Airlines
440052,oe-lbs,a320,Airbus A320-214,Austrian Airlines
440054,up-cj008,crj2,Canadair CRJ-200,SCAT Airlines
440058,oe-lga,dh8d,Bombardier Dash 8 Q400,Austrian Airlines
440059,oe-lgb,dh8d,,
44005e,oe-lir,d328,Dornier 328-110,Welcome Air
440060,oe-lae,b763,Boeing 767-3Z9ER,Austrian Airlines
440063,oe-lgc,dh8d,Bombardier Dash 8 Q400,Austrian Airlines
440068,oe-lgd,dh8d,Bombardier Dash 8 Q400,Austrian Airlines
44006c,oe-lbt,a320,Airbus A320-214,Austrian Airlines
44006d,oe-lbf,a321,Airbus A321-211,Austrian Airlines
44006e,oe-lbu,a320,Airbus A320-214,Austrian Airlines
440070,oe-lge,dh8d,Bombardier Dash 8 Q400,Austrian Airlines
44007c,oe-lpc,b772,Boeing 777-2Z9,Austrian Airlines
440081,oe-lpd,b772,Boeing 777-2Z9,Austrian Airlines
440085,oe-xer,ec35,Eurocopter EC135 T2+,Christophorus Flugrettungsvere
440094,oe-lgf,dh8d,Bombardier Dash 8 Q400,Austrian Airlines
44009c,oe-lgg,dh8d,,
44009d,oe-lgh,dh8d,Bombardier Dash 8 Q400,Austrian Airlines
4400a7,oe-vpu,da40,Diamond DA40 Diamond Star,Private owner
4400b0,oe-gll,c55b,Cessna 550 Citation Bravo,Private owner
4400b2,oe-lda,a319,Airbus A319-112,Austrian Airlines
4400b3,oe-ldb,a319,Airbus A319-112,Austrian Airlines
4400b8,oe-udw,da42,Diamond DA42 Twin Star,Private owner
4400c3,oe-ldc,a319,Airbus A319-112,Austrian Airlines
4400c5,oe-epc,pc12,Pilatus PC-12/45,Private owner
4400c9,oe-vdb,da42,Diamond DA-42 Twin Star,Private owner
4400ca,oe-lva,f100,Fokker 100,Austrian Airlines
4400cb,oe-lvb,f100,Fokker 100,Austrian Airlines
4400d0,oe-gbd,astr,Gulfstream G100,Tyrol Air Ambulance
4400d8,oe-ekd,pc12,Pilatus PC12,Private owner
4400db,oe-lvc,f100,Fokker 100,Austrian Airlines
4400dc,oe-frd,pa34,Piper PA34-220T,
4400e0,oe-did,c182,Cessna 182P Skylane,Private owner
4400f6,oe-lvd,f100,Fokker 100,Austrian Airlines
4400f7,oe-lve,f100,Fokker 100,Austrian Airlines
4400f8,oe-lvg,f100,Fokker 100,Austrian Airlines
4400f9,oe-lvf,f100,Fokker 100,Austrian Airlines
4400fd,oe-krt,p28r,Piper PA28R-201T Turbo Cheroke,Private owner
44010c,oe-lvh,f100,Fokker 100,Austrian Airlines
44010d,oe-ldd,a319,Airbus A319-112,Austrian Airlines
440110,oe-lgi,dh8d,Bombardier Dash 8 Q400,Austrian Airlines
440111,oe-lgj,dh8d,Bombardier Dash 8 Q400,Austrian Airlines
440114,oe-fci,c340,Cessna 340A,Private owner
44011b,oe-dts,da40,Diamond DA-40 Diamond Star,Private owner
44011e,oe-lvi,f100,Fokker 100,Austrian Airlines
440122,oe-fds,pay2,Piper PA-31T Cheyenne 2,Private owner
440124,oe-fhl,be9l,Beech C90A King Air,Airlink
44012a,oe-fsm,pa34,Piper PA-34-200T Seneca II,Airlink Salzburg
44012c,oe-kft,p28a,Piper PA28RT-201T Turbo Arrow,Private owner
44012d,oe-fgt,c303,Cessna	T303 Crusader,Private owner
44012f,oe-lde,a319,Airbus A319-112,Austrian Airlines
440130,oe-ldf,a319,Airbus A319-112,Austrian Airlines
440136,oe-emd,pc6t,Pilatus PC-6/B2-H4 Turbo Porte,Red Bull
440137,oe-udv,da42,Diamond DA42 Twin Star,Private owner
440146,ra-67251,dh8c,Bombardier Dash 8 Q300,Aurora Airlines
44014c,oe-fjj,da42,Diamond DA-42,Austrian Aircraft Corporation
44014e,oe-kal,c172,Cessna 172S,Private owner
440156,oe-lvj,f100,Fokker 100,Austrian Airlines
44015c,oe-lea,a320,Airbus A320-214,Niki
44016a,oe-fmk,c501,Cessna 501 Citation 1/SP,Private owner
44016b,oe-ldg,a319,Airbus A319-112,Austrian Airlines
440178,oe-flm,pa34,PA-34-220T Seneca III,VIF Luftfahrtgesellschaft mbH
44017f,oe-fdc,da42,Diamond DA42 Twin Star,Private owner
44018b,oe-xfb,ec35,Eurocopter EC135 T2,Red Bull - The Flying Bulls
44019b,oe-lia,dh8c,Bombardier Dash 8 Q300,Intersky
44019c,oe-lic,dh8c,Bombardier Dash 8 Q300,Intersky
4401b0,oe-fwr,da42,Diamond DA42,Private owner
4401b1,oe-iic,f100,Fokker 100,MJet
4401b8,oe-lee,a320,Airbus A320-214,Niki
4401c5,oe-krg,da40,Diamond DA-40D,Private
4401da,oe-lvk,f100,Fokker 100,Austrian Airlines
4401e1,oe-ilx,b738,Boeing 737-8DR,Global Jet Austria
4401e2,oe-lex,a320,Airbus A320-214,Niki
4401e3,oe-leu,a320,Airbus A320-214,Niki
4401e5,oe-dpx,p28a,PA-28-140 Cherokee,Private Owner
4401f3,oe-lvl,f100,Fokker 100,Austrian Airlines
4401f6,oe-xey,ec35,Eurocopter EC135 T2+,Christophorus Flugrettungsvere
4401fd,oe-klj,c172,Cessna 172S Skyhawk SP,Private owner
440201,oe-fph,da42,Diamond DA42,Private owner
440204,oe-udr,da42,Diamond DA40 Diamond Star,Private owner
440206,ph-tak,da42,Diamond Aircraft Inc.DA-42 Twi,Private Owner
440207,oe-udp,da42,Diamond Aircraft DA 42 Twin St,Wr. Neustadt Ost
44020f,oe-kmx,be33,Beech F33A Bonanza,Sportfliegerclub Ried/Kirchhei
440210,oe-div,c182,F182Q Skylane,Sportfliegerclub Ried Innkreis
440212,oe-cst,bx2,Streitwieser BX-2 Cherry,Private owner
440225,oe-kmg,ac11,Commander 114B,Private owner
440227,oe-dsj,c182,Cessna T182T Skylane,Private owner
440240,oe-fst,pa34,Piper PA-34-220T Seneca IV,Private owner
440243,oe-dar,da40,Diamond DA40 Diamond Star,Private owner
44024e,oe-lvm,f100,Fokker 100,Austrian Airlines
440258,oe-fmb,da42,Diamond DA-42 Twin Star,Private Owner
44025c,oe-kgb,p46t,Piper PA-46-500TP Malibu Merid,Private owner
440261,oe-fdi,sc7,Short SC7 Skyvan S3,Pink Aviation Services
440264,oe-edm,c208,Cessna 208 Caravan I,The Flying Bulls
440265,oe-dsm,da40,Diamond DA40 Diamond Star,Private owner
440266,oe-dlu,c182,Cessna F182Q Skylane,Private owner
44026d,oe-fmh,c340,Cessna 340A,Mali Air Luftverkehr GmbH
440270,oe-kls,4402,Piper PA-28R-201T Turbo Arrow,Fliegerclub Weisse Moewe Wels
440276,oe-kog,m20p,Mooney M20K,Private owner
44027c,oe-dge,da40,Diamond DA-40 Star,Private owner
44027e,oe-kwr,da40,,
440287,oe-ksf,p28u,Piper	PA-28RT-201T,"Antony Peter, Ing"
44028f,oe-lvn,f100,Fokker 100,Austrian Airlines
440291,oe-fjg,p68,Partenavia P68C,Private owner
440296,oe-dhg,c172,Cessna 172S Millenium Skyhawk,Private owner
44029a,oe-khf,c182,Cessna T182T,Private owner
44029b,oe-kfi,c182,Cessna 182T,Private owner
4402a8,oe-kbu,da40,Diamond DA-40 Diamond Star,"Fliegerclub Bussard, Pasching"
4402b7,oe-fal,da42,Diamond DA42 Twin Star,Private owner
4402c1,oe-kvk,da40,Diamond DA40TDI,Private owner
4402da,oe-fbb,da42,Diamond DA42 Twin Star,Private owner
4402e0,oe-dgp,da40,Diamond DA40D Star,Private owner
4402e3,oe-fcs,da42,Diamond DA42 Twin Star,Private owner
4402e5,oe-fdk,sc7,Short SC7 Skyvan S3,Pink Aviation Services
4402e6,oe-fdn,sc7,Short SC7 Skyvan S3,Pink Aviation Services
4402fd,oe-knn,p28u,Piper PA-28RT-201T,Private owner
440306,oe-dbj,da40,Diamond DA-40D,"Ostend Air College, Oostende B"
440312,oe-dgn,c182,Cessna 182P,Union-Sportfliegerclub Punitz-
440318,oe-les,a321,Airbus A321-211,Niki
44032e,oe-aes,dv20,DA-20-A1 Katana,Oesterreich. Sportflieger Club
440336,oe-krh,be33,Beech F33A Bonanza,Private Owner
440348,oe-lvo,f100,Fokker 100,Austrian Airlines
44034e,oe-gal,c55b,Cessna 550 Citation Bravo,Airlink
440354,oe-dnn,p28t,Piper PA-28RT-201 Arrow 4,Private owner
44035d,oe-atm,c150,Reims Aviation F150L,Flugring Salzburg
440368,oe-dmg,p46t,Piper PA-46-500TP Malibu Merid,Private owner
440372,oe-vdi,da42,Diamond DA-42 Twin Star,Private owner
440373,oe-vdk,da42,Diamond DA-42,Private owner
440375,oe-vdm,da42,Diamond 	DA-42,Private owner
440377,oe-vdo,da42,Diamond DA42,Private owner
44037b,oe-udk,da42,Diamond Aircraft Industries 	D,Private Owner
44037d,oe-udm,da42,Diamond Aircraft DA42 Twin Sta,Wr. Neustadt Ost
44037e,oe-udn,da42,Diamond DA42 Twin Star,Private owner
440381,oe-kfb,c172,Cessna 172S,Red Bull - The Flying Bulls
440383,oe-crb,e300,Extra EA-300/L,The Flying Bulls
440390,oe-vls,da50,Diamond DA-50,Diamond Aircraft
440398,oe-vft,da42,Diamond DA42 NG,Private Owner
4403be,oe-ksa,sr22,Cirrus SR22,Private owner
440414,oe-let,a321,Airbus A321-211,Niki
440432,oe-ggg,c56x,Cessna 560XL Citation XLS+,Jet Fly Airline
44043a,oe-lgk,dh8d,Bombardier Dash 8 Q400,Austrian Airlines
440443,oe-dal,p28r,Piper PA-28-181 Archer III,Private owner
440456,oe-cfv,e300,Extra EA-300/L,Private owner
440459,oe-khj,t206,Cessna T206H,Private owner
440485,oe-adc,dv20,Diamond DA-20-C1,"Diamond Aero SRL, Roma IT"
44048f,oe-kgc,pa46,Piper PA-46-350P Malibu,Private owner
440493,oe-fis,pay1,Piper PA-31T1 Cheyenne 1A,Private owner
44049a,oe-fmf,da42,Diamond DA42 Twin Star,Private owner
424056,vp-bqs,a321,Airbus A321-211,Aeroflot
424057,vp-bqt,a321,Airbus A321-211,Aeroflot
424058,vp-bqx,a321,Airbus A321-211,Aeroflot
424059,vp-bnz,b737,Boeing 737-7HD,Gazpromavia
424061,vp-bql,b735,Boeing 737-5Y0,Nordavia
424062,vp-bqi,b735,Boeing 737-5Y0,Nordavia
424063,vp-bex,a319,Airbus A319-115X,SonAir
42406d,vp-brg,b735,Boeing 737-53C,Nordavia
42406e,vp-brn,b735,Boeing 737-5Y0,Nordavia
424092,vp-bmk,be30,Beech 300 Super King Air,
424094,vp-bri,b735,Boeing 737-5Y0,Nordavia
424095,vp-brk,b735,Boeing 737-5Y0,Nordavia
424096,vp-brp,b735,Boeing 737-505,Nordavia
424097,vp-brx,a320,Airbus A320-214,Aeroflot
424098,vp-bry,a320,Airbus A320-214,Aeroflot
424099,vp-brz,a320,Airbus A320-214,Aeroflot
42409b,vp-bap,b721,Boeing 727-21,Private owner
42409c,vp-brw,a321,Airbus A321-211,Aeroflot
4240a5,vp-bpa,b735,Boeing 737-5K5,Transaero
4240a6,vp-bpd,b735,Boeing 737-5K5,Transaero
4240b6,vp-big,b744,Boeing 747-46NERF,AirBridgeCargo
4240c8,vp-bhf,a319,Airbus A319-114,S7 Airlines
4240c9,vp-bhg,a319,Airbus A319-114,S7 Airlines
4240ca,vp-bhi,a319,Airbus A319-114,S7 Airlines
4240cb,vp-bhj,a319,Airbus A319-114,S7 Airlines
4240cc,vp-bhk,a319,Airbus A319-114,S7 Airlines
4240cd,vp-bhl,a319,Airbus A319-114,S7 Airlines
4240ce,vp-bhp,a319,Airbus A319-114,S7 Airlines
4240cf,vp-bhq,a319,Airbus A319-114,S7 Airlines
4240d0,vp-bhv,a319,Airbus A319-114,S7 Airlines
4240d9,vp-bft,b737,Boeing 737-7JB BBJ,Veteran Air
4240db,vp-bum,a321,Airbus A321-211,Aeroflot
4240dc,vp-buk,a319,Airbus A319-112,Aurora
4240df,vp-bun,a319,Airbus A319-111,Aurora
4240e0,vp-bup,a321,Airbus A321-211,Aeroflot
4240e1,vp-buo,a319,Airbus A319-111,Aurora
4240e2,vp-bqu,a320,Airbus A320-214,Aeroflot
4240e6,vp-bik,b744,Boeing 747-46NERF,AirBridgeCargo
4240e7,vp-bim,b744,Boeing 747-4HAER,AirBridgeCargo
4240e9,vp-byi,b735,Boeing 737-524,Transaero
4240ea,vp-byj,b735,Boeing 737-524,Transaero
4240eb,vp-byk,b735,Boeing 737-524,UTair
4240ec,vp-byl,b735,Boeing 737-524,UTair
4240ee,vp-byn,b735,Boeing 737-524,Transaero
4240ef,vp-byo,b735,Boeing 737-524,Transaero
4240f0,vp-byp,b735,Boeing 737-524,Transaero
4240f1,vp-byq,b735,Boeing 737-524,Transaero
4240fc,vp-bfz,a320,Airbus A320-214,Ural Airlines
424101,vp-bkl,b744,Boeing 747-444,Transaero
424104,vp-bvr,b744,Boeing 747-444,Transaero
424106,vp-bvl,b735,Boeing 737-524,UTair
424107,vp-bvn,b735,Boeing 737-524,UTair
42410a,vp-bvz,b735,Boeing 737-524,UTair
424116,vp-bkx,a320,Airbus A320-214,Aeroflot
424117,vp-bky,a320,Airbus A320-214,Aeroflot
424118,vp-bkc,a320,Airbus A320-214,Aeroflot
42411d,vp-bkt,b733,Boeing 737-33R,Nordavia
42411e,vp-bku,b735,Boeing 737-505,Nordavia
42411f,vp-bkv,b735,Boeing 737-505,Nordavia
42412a,vp-bjj,b737,Boeing 737-7BC BBJ,Avenir World
42412e,vp-bcz,a320,Airbus A320-214,S7 Airlines
42412f,vp-bcp,a320,Airbus A320-214,S7 Airlines
424130,vp-bcs,a320,Airbus A320-214,S7 Airlines
424131,vp-bdt,a320,Airbus A320-214,S7 Airlines
424143,vp-csk,b738,Boeing 737-8GG BBJ2,Sultan Al Kabeer
424149,vp-cxq,a320,Airbus A320-214,Flynas
42414d,vp-cxp,a320,Airbus A320-214,Flynas
424150,vp-cpa,b737,Boeing 737-7AW,Jet Aviation Business Jets
424152,vp-cdv,cl30,Bombardier Challenger 300,Private owner
424153,vp-cpx,pc12,Pilatus PC12/47,Private owner
424156,vp-cxo,a320,Airbus A320-214,Flynas
424157,vp-cks,a318,Airbus A318-112 Elite,Flynas
42415a,vp-cxi,a320,Airbus A320-214,Flynas
42415f,vp-cxj,a320,Airbus A320-214,Flynas
424162,vp-cag,cl30,Bombardier Challenger 300,Private owner
424164,vp-cff,ec55,Embraer EMB-135BJ Legacy 650,Gama Aviation
42416c,vp-cxz,a320,Airbus A320-214,Flynas
42416d,vp-cxy,a320,Airbus A320-214,Flynas
42416e,vp-cxx,a320,Airbus A320-214,Flynas
42416f,vp-cxw,a320,Airbus A320-214,Flynas
424170,vp-caq,b732,Boeing 737-2V6,Jet Connections Ltd
424174,vp-cxf,a320,Airbus A320-214,Flynas
424178,vp-cxs,a320,Airbus A320-214,Flynas
42417c,vp-ckw,b733,Boeing 737-36E,Cayman Airways
42417d,vp-cxk,a320,Airbus A320-214,Flynas
42417e,vp-com,c500,Cessna 500 Citation 1,Private owner
42417f,vp-cxl,a320,Airbus A320-214,Flynas
424182,vp-cad,a319,Airbus A319-115,Private owner
424187,vp-cxm,a320,Airbus A320-214,Flynas
424189,vp-cxn,a320,Airbus A320-214,Flynas
42418d,vp-cmm,e135,Embraer EMB-135BJ Legacy,Al-Mojil Aviation
424190,vp-ctf,md87,McDonnell Douglas MD-87,AMAC Aerospace
424194,vp-ckh,a318,Airbus A318-112CJ Elite,Private owner
424195,vp-ckz,b733,Boeing 737-36E,Cayman Airways
424199,vp-cxt,a320,Airbus A320-214,Flynas
42419d,vp-cxu,a320,Airbus A320-214,Flynas
4241a1,vp-cxr,a320,Airbus A320-214,Flynas
4241a6,vp-cpf,cl30,Bombardier Challenger 300,Private owner
4241a7,vp-con,crj2,Canadair Challenger 850,Private owner
4241a9,vp-cmj,a319,Airbus A319-111,Aviation Link Company
4241ac,vp-cac,a332,Airbus A330-243,Mid East Jets
4241b0,vp-cxh,a320,Airbus A320-214,Flynas
4241b2,vp-cpm,c56x,Cessna 560XLS Citation Excel,Private owner
4241bb,vp-cal,b77l,Boeing 777-2KQ,Private owner
4241c4,vp-cxg,a320,Airbus A320-214,Flynas
4241c8,vp-cch,a318,Airbus A318-112CJ,Private owner
4241c9,vp-csn,a319,Airbus A319-115CJ,Nexus Flight Operations
4241da,vp-cxv,a320,Airbus A320-214,Flynas
4241e2,vp-cia,a319,Airbus A319-115,Aviation Link Company
4241e6,vp-cec,b739,Boeing 737-9HW,Private owner
4241e9,vp-cxc,a320,Airbus A320-214,Flynas
4241ea,vp-cxd,a320,Airbus A320-214,Flynas
4241eb,vp-cxe,a320,Airbus A320-214,Flynas
4241f4,vp-fbb,dhc6,DHC6-300 Twin Otter,British Antarctic Survey
4241f6,vp-faz,dhc6,DHC6-300 Twin Otter,British Antarctic Survey
424236,vp-bdb,b739,Boeing 737-301,KD Avia
424239,vp-biz,b737,Boeing 737-7AU,ACM Aviation
42423a,vp-bjb,b772,Boeing 777-21B,Nordwind Airlines
42423b,vp-brm,a321,Boeing 737-8AS,Orenair
42423d,vp-bmo,b738,Boeing 767-37D,Ikar Airlines
42423e,vp-blx,a332,Airbus A330-243,Aeroflot
42423f,vp-bly,a332,Airbus A330-243,Aeroflot
424240,vp-bgh,a321,Airbus A321-232,Nordwind Airlines
424245,vp-bit,a319,Airbus A319-112,Rossiya
424246,vp-biq,a319,Airbus A319-111,Rossiya
424247,vp-biu,a319,Airbus A319-114,Rossiya
424248,vp-bja,a320,Airbus A320-214,Aeroflot
42424b,vp-bpi,b738,Boeing 737-83N,Nordwind Airlines
42424c,vp-bpy,b738,Boeing 737-83N,Nordwind Airlines
42424d,vp-bnd,b738,Boeing 737-83N,S7 Airlines
42424e,vp-bng,b738,Boeing 737-83N,S7 Airlines
424250,vp-bqd,b738,Boeing 737-83N,S7 Airlines
424251,vp-bqf,b738,Boeing 737-83N,S7 Airlines
424256,vp-bvh,b763,Boeing 767-33A,S7 Airlines
424257,vp-bgb,b77w,Learjet 60,Private owner
424258,vp-bme,a320,Airbus A320-214,Aeroflot
424259,vp-bmf,a320,Airbus A320-214,Aeroflot
42425c,vp-bxo,b735,Boeing 737-524,UTair
42425d,vp-bxq,b735,Boeing 737-524,UTair
42425e,vp-bxr,b735,Boeing 737-524,UTair
42425f,vp-bxu,b735,Boeing 737-524,UTair
424261,vp-bto,a320,Boeing 737-7Q8,Boliviana de Aviacion
424263,vp-bxy,b735,Boeing 737-524,UTair
424266,vp-boy,b763,Boeing 767-3G5,Ikar Airlines
424267,vp-boh,b735,Boeing 737-59D,Nordavia
424268,vp-bnb,a319,Airbus A319-112,Donavia
424269,vp-bmn,crj2,Canadair CRJ-200,Rusline
